,United Kingdom,EIRE,Netherlands,Germany,France
0.02,249,612,13874,501,878
0.0314705882353,71,203,922,167,268
0.0429411764706,31,99,364,80,126
0.0544117647059,10,41,150,41,76
0.0658823529412,5,20,67,24,50
0.0773529411765,3,13,42,17,35
0.0888235294118,2,8,26,11,27
0.123235294118,1,5,8,6,11
0.134705882353,1,3,8,5,6
0.111764705882,1,5,13,8,14
0.100294117647,1,8,21,9,18
0.364117647059,0,0,0,0,0
0.146176470588,0,2,6,3,5
0.306764705882,0,1,0,0,0
0.203529411765,0,2,1,1,1
0.215,0,2,0,1,0
0.352647058824,0,0,0,0,0
0.226470588235,0,2,0,1,0
0.341176470588,0,0,0,0,0
0.329705882353,0,0,0,0,0
0.192058823529,0,2,2,1,1
0.318235294118,0,0,0,0,0
0.157647058824,0,2,4,3,3
0.375588235294,0,0,0,0,0
0.295294117647,0,1,0,0,0
0.180588235294,0,2,3,1,1
0.283823529412,0,1,0,0,0
0.398529411765,0,0,0,0,0
0.272352941176,0,1,0,0,0
0.249411764706,0,1,0,1,0
0.169117647059,0,2,3,2,2
0.260882352941,0,1,0,1,0
0.41,0,0,0,0,0
0.237941176471,0,1,0,1,0
0.387058823529,0,0,0,0,0
